eta,risk,strategy,minute_index,utc_day,objective_gain_bps,monetary_gain_bps
0.5,0.0,baseline,5,20666,-0.0,-0.0
0.5,0.0,baseline,35,20666,0.0,0.0
0.5,0.0,baseline,65,20666,0.0,0.0
0.5,0.0,baseline,95,20666,-0.0,-0.0
0.5,0.0,baseline,125,20666,0.0,0.0
0.5,0.0,baseline,155,20666,-0.0,-0.0
0.5,0.0,baseline,185,20666,0.0,0.0
0.5,0.0,baseline,215,20666,0.0,0.0
0.5,0.0,baseline,245,20666,-0.0,-0.0
0.5,0.0,baseline,275,20666,-0.0,-0.0
0.5,0.0,baseline,305,20666,-0.0,-0.0
0.5,0.0,baseline,335,20666,0.0,0.0
0.5,0.0,baseline,365,20666,-0.0,-0.0
0.5,0.0,baseline,395,20666,-0.0,-0.0
0.5,0.0,baseline,425,20666,0.0,0.0
0.5,0.0,baseline,455,20666,-0.0,-0.0
0.5,0.0,baseline,485,20666,0.0,0.0
0.5,0.0,baseline,515,20666,-0.0,-0.0
0.5,0.0,baseline,545,20666,-0.0,-0.0
0.5,0.0,baseline,575,20666,0.0,0.0
0.5,0.0,baseline,605,20666,-0.0,-0.0
0.5,0.0,baseline,635,20666,-0.0,-0.0
0.5,0.0,baseline,665,20666,-0.0,-0.0
0.5,0.0,baseline,695,20666,0.0,0.0
0.5,0.0,baseline,725,20666,-0.0,-0.0
0.5,0.0,baseline,755,20666,-0.0,-0.0
0.5,0.0,baseline,785,20666,-0.0,-0.0
0.5,0.0,baseline,815,20666,-0.0,-0.0
0.5,0.0,baseline,845,20666,-0.0,-0.0
0.5,0.0,baseline,875,20666,-0.0,-0.0
0.5,0.0,baseline,905,20666,-0.0,-0.0
0.5,0.0,baseline,935,20666,0.0,0.0
0.5,0.0,baseline,965,20666,0.0,0.0
0.5,0.0,baseline,995,20666,-0.0,-0.0
0.5,0.0,baseline,1025,20666,-0.0,-0.0
0.5,0.0,baseline,1055,20666,-0.0,-0.0
0.5,0.0,baseline,1085,20666,-0.0,-0.0
0.5,0.0,baseline,1115,20666,0.0,0.0
0.5,0.0,baseline,1145,20666,-0.0,-0.0
0.5,0.0,baseline,1175,20666,-0.0,-0.0
0.5,0.0,baseline,1205,20666,-0.0,-0.0
0.5,0.0,baseline,1235,20666,-0.0,-0.0
0.5,0.0,baseline,1265,20666,-0.0,-0.0
0.5,0.0,baseline,1295,20666,0.0,0.0
0.5,0.0,baseline,1325,20666,0.0,0.0
0.5,0.0,baseline,1355,20666,-0.0,-0.0
0.5,0.0,baseline,1385,20666,-0.0,-0.0
0.5,0.0,baseline,1415,20666,0.0,0.0
0.5,0.0,baseline,1445,20667,-0.0,-0.0
0.5,0.0,baseline,1475,20667,0.0,0.0
0.5,0.0,baseline,1505,20667,0.0,0.0
0.5,0.0,baseline,1535,20667,-0.0,-0.0
0.5,0.0,baseline,1565,20667,-0.0,-0.0
0.5,0.0,baseline,1595,20667,0.0,0.0
0.5,0.0,baseline,1625,20667,0.0,0.0
0.5,0.0,baseline,1655,20667,0.0,0.0
0.5,0.0,baseline,1685,20667,-0.0,-0.0
0.5,0.0,baseline,1715,20667,0.0,0.0
0.5,0.0,baseline,1745,20667,0.0,0.0
0.5,0.0,baseline,1775,20667,0.0,0.0
0.5,0.0,baseline,1805,20667,-0.0,-0.0
0.5,0.0,baseline,1835,20667,0.0,0.0
0.5,0.0,baseline,1865,20667,-0.0,-0.0
0.5,0.0,baseline,1895,20667,-0.0,-0.0
0.5,0.0,baseline,1925,20667,-0.0,-0.0
0.5,0.0,baseline,1955,20667,0.0,0.0
0.5,0.0,baseline,1985,20667,-0.0,-0.0
0.5,0.0,baseline,2015,20667,-0.0,-0.0
0.5,0.0,baseline,2045,20667,-0.0,-0.0
0.5,0.0,baseline,2075,20667,0.0,0.0
0.5,0.0,baseline,2105,20667,-0.0,-0.0
0.5,0.0,baseline,2135,20667,0.0,0.0
0.5,0.0,baseline,2165,20667,0.0,0.0
0.5,0.0,baseline,2195,20667,0.0,0.0
0.5,0.0,baseline,2225,20667,-0.0,-0.0
0.5,0.0,baseline,2255,20667,0.0,0.0
0.5,0.0,baseline,2285,20667,0.0,0.0
0.5,0.0,baseline,2315,20667,-0.0,-0.0
0.5,0.0,baseline,2345,20667,-0.0,-0.0
0.5,0.0,baseline,2375,20667,0.0,0.0
0.5,0.0,baseline,2405,20667,0.0,0.0
0.5,0.0,baseline,2435,20667,0.0,0.0
0.5,0.0,baseline,2465,20667,0.0,0.0
0.5,0.0,baseline,2495,20667,0.0,0.0
0.5,0.0,baseline,2525,20667,-0.0,-0.0
0.5,0.0,baseline,2555,20667,-0.0,-0.0
0.5,0.0,baseline,2585,20667,-0.0,-0.0
0.5,0.0,baseline,2615,20667,0.0,0.0
0.5,0.0,baseline,2645,20667,0.0,0.0
0.5,0.0,baseline,2675,20667,0.0,0.0
0.5,0.0,baseline,2705,20667,-0.0,-0.0
0.5,0.0,baseline,2735,20667,-0.0,-0.0
0.5,0.0,baseline,2765,20667,0.0,0.0
0.5,0.0,baseline,2795,20667,-0.0,-0.0
0.5,0.0,baseline,2825,20667,0.0,0.0
0.5,0.0,baseline,2855,20667,-0.0,-0.0
0.5,0.0,baseline,2885,20668,0.0,0.0
0.5,0.0,baseline,2915,20668,0.0,0.0
0.5,0.0,baseline,2945,20668,0.0,0.0
0.5,0.0,baseline,2975,20668,-0.0,-0.0
0.5,0.0,baseline,3005,20668,0.0,0.0
0.5,0.0,baseline,3035,20668,0.0,0.0
0.5,0.0,baseline,3065,20668,0.0,0.0
0.5,0.0,baseline,3095,20668,0.0,0.0
0.5,0.0,baseline,3125,20668,0.0,0.0
0.5,0.0,baseline,3155,20668,-0.0,-0.0
0.5,0.0,baseline,3185,20668,-0.0,-0.0
0.5,0.0,baseline,3215,20668,-0.0,-0.0
0.5,0.0,baseline,3245,20668,0.0,0.0
0.5,0.0,baseline,3275,20668,-0.0,-0.0
0.5,0.0,baseline,3305,20668,0.0,0.0
0.5,0.0,baseline,3335,20668,0.0,0.0
0.5,0.0,baseline,3365,20668,-0.0,-0.0
0.5,0.0,baseline,3395,20668,-0.0,-0.0
