beta,strategy,amplitude,objective_gain,gain_divided_by_K,identity_error
-0.5,full,1.0,-0.001404519344584354,-0.99999999999999,1.4094628242311558e-17
-0.5,half,0.5,-0.0005266947542191397,-0.37500000000000117,1.6263032587282567e-18
-0.5,interval_0.2_0.8,0.2,-0.0001685423213501347,-0.12000000000000749,1.0516761073109393e-17
-0.5,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
-0.475,full,1.0,-0.0013694063609697438,-0.9749999999999892,1.5178830414797062e-17
-0.475,half,0.5,-0.0005091382624118346,-0.3625000000000008,1.1926223897340549e-18
-0.475,interval_0.2_0.8,0.2,-0.00016151972462720432,-0.11500000000000142,1.9786689647860456e-18
-0.475,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
-0.45,full,1.0,-0.0013342933773551335,-0.9499999999999885,1.6046192152785466e-17
-0.45,half,0.5,-0.0004915817706045295,-0.3500000000000004,6.505213034913027e-19
-0.45,interval_0.2_0.8,0.2,-0.00015449712790427395,-0.10999999999999534,6.559423143537302e-18
-0.45,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
-0.425,full,1.0,-0.0012991803937405372,-0.9249999999999976,3.469446951953614e-18
-0.425,half,0.5,-0.0004740252787972382,-0.33750000000000996,1.3931997916438732e-17
-0.425,interval_0.2_0.8,0.2,-0.00014747453118137133,-0.10500000000000903,1.2658060363768264e-17
-0.425,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
-0.4,full,1.0,-0.001264067410125913,-0.899999999999987,1.8214596497756474e-17
-0.4,half,0.5,-0.0004564687869899192,-0.3249999999999997,4.336808689942018e-19
-0.4,interval_0.2_0.8,0.2,-0.00014045193445844095,-0.10000000000000295,4.119968255444917e-18
-0.4,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
-0.375,full,1.0,-0.0012289544265113167,-0.8749999999999961,5.421010862427522e-18
-0.375,half,0.5,-0.000438912295182628,-0.3125000000000092,1.2956215961201778e-17
-0.375,interval_0.2_0.8,0.2,-0.00013342933773552446,-0.09500000000000676,9.459663954936026e-18
-0.375,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
-0.35,full,1.0,-0.0011938414428967065,-0.8499999999999954,6.5052130349130266e-18
-0.35,half,0.5,-0.00042135580337532286,-0.30000000000000887,1.2414114874959026e-17
-0.35,interval_0.2_0.8,0.2,-0.00012640674101259408,-0.09000000000000068,9.486769009248164e-19
-0.35,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
-0.32499999999999996,full,1.0,-0.0011587284592820962,-0.8249999999999947,7.37257477290143e-18
-0.32499999999999996,half,0.5,-0.00040379931156801774,-0.28750000000000847,1.1926223897340549e-17
-0.32499999999999996,interval_0.2_0.8,0.2,-0.00011938414428967759,-0.08500000000000449,6.3019251275719945e-18
-0.32499999999999996,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
-0.3,full,1.0,-0.001123615475667486,-0.7999999999999939,8.456776945386935e-18
-0.3,half,0.5,-0.0003862428197607126,-0.2750000000000081,1.1384122811097797e-17
-0.3,interval_0.2_0.8,0.2,-0.00011236154756676109,-0.08000000000000829,1.1641620827063104e-17
-0.3,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
-0.275,full,1.0,-0.0010885024920528757,-0.7749999999999932,9.540979117872439e-18
-0.275,half,0.5,-0.0003686863279534075,-0.2625000000000077,1.0842021724855044e-17
-0.275,interval_0.2_0.8,0.2,-0.00010533895084383071,-0.07500000000000222,3.0899761915836876e-18
-0.275,interval_minus0.2_0.8,0.0,0.0,0.0,0.0
-0.25,full,1.0,-0.0010533895084382655,-0.7499999999999925,1.0625181290357943e-17
-0.25,half,0.5,-0.0003511298361461024,-0.2500000000000074,1.0354130747236567e-17
-0.25,interval_0.2_0.8,0.2,-9.831635412091422e-05,-0.07000000000000602,8.443224418230866e-18
