depletion,size,date,reference,price,liquidity,both,twap
1,0.01,2021-04-14,0.0,-3.9632007330618677,-5.262376399988384,-4.248213608025172,-5.393476013166063
1,0.01,2021-04-15,0.0,1.9369022079159992,2.2446418835986,1.9414132950855134,0.6162052536971584
1,0.01,2021-04-16,0.0,-4.034096472226704,-2.530334833283091,-3.9311451944773097,-3.2483713038484154
1,0.01,2021-04-17,0.0,1.6050259189858413,3.5287279448080855,1.6336458219126904,2.1138795308843004
1,0.01,2021-04-18,0.0,-11.17746271858467,-5.607069851544399,-14.593749136867892,-7.266471859325274
1,0.05,2021-04-14,0.0,-3.6945523455150195,-5.371667231338645,-3.9185057287310303,-4.938422963210368
1,0.05,2021-04-15,0.0,2.064166631746805,1.923934305360257,1.9939607307375755,0.6901867555283864
1,0.05,2021-04-16,0.0,-4.053868469538396,-3.2527060584420866,-3.978230462873055,-3.059735241670231
1,0.05,2021-04-17,0.0,1.1821193313922318,3.1935319893987995,1.1866715775822696,1.8993072240143443
1,0.05,2021-04-18,0.0,-11.723404831751717,-5.796168186713764,-14.260538740218044,-7.406599770524004
1,0.2,2021-04-14,0.0,-2.0927420468577704,-3.454922194204863,-2.221754456741513,-3.0204122215419336
1,0.2,2021-04-15,0.0,2.6479105377894094,3.439904902179664,2.655329360942584,1.342251282818301
1,0.2,2021-04-16,0.0,-2.943274755848273,-1.2155282055602905,-2.98813461193647,-1.9194412512091763
1,0.2,2021-04-17,0.0,0.9508229282053309,2.545701349265814,0.9332313227466148,1.1166229895379856
1,0.2,2021-04-18,0.0,-5.207939303021199,-2.292757548576317,-7.289278436028302,-1.7331815465450895
0,0.01,2021-04-14,0.0,-3.9632007330618677,-5.262376399988384,-4.248213608025172,-5.393476013166063
0,0.01,2021-04-15,0.0,1.9369022079159992,2.2446418835986,1.9414132950855134,0.6162052536971584
0,0.01,2021-04-16,0.0,-4.034096472226704,-2.530334833283091,-3.9311451944773097,-3.2483713038484154
0,0.01,2021-04-17,0.0,1.6050270083455285,3.5287290341677724,1.633646911272378,2.1138799315055152
0,0.01,2021-04-18,0.0,-11.17746271858467,-5.607069851544399,-14.593749136867892,-7.266471859325274
0,0.05,2021-04-14,0.0,-3.6944377786345988,-5.371667231338645,-3.9183911618505967,-4.938422963210368
0,0.05,2021-04-15,0.0,2.064166631746805,1.923934305360257,1.9939607307375755,0.6901871285414022
0,0.05,2021-04-16,0.0,-4.055167684550811,-3.2522084206939397,-3.97952967788547,-3.061034456682646
0,0.05,2021-04-17,0.0,1.1836510438412924,3.1935305908979523,1.1882032900313302,1.8993058255134976
0,0.05,2021-04-18,0.0,-11.723404831751717,-5.796168186713764,-14.260538740218044,-7.406599770524004
0,0.2,2021-04-14,0.0,-2.0920903599380924,-3.45578196808756,-2.2216091569898873,-3.0214313021359707
0,0.2,2021-04-15,0.0,2.6479105377894094,3.4332011440065435,2.655329360942584,1.3359394497241475
0,0.2,2021-04-16,0.0,-2.942780725755919,-1.2154645655417398,-2.9876405818441167,-1.918328099285891
0,0.2,2021-04-17,0.0,0.9521973838151601,2.545665008517949,0.9345323345479105,1.1170193572178748
0,0.2,2021-04-18,0.0,-5.207939303021199,-2.2922434393642703,-7.289278436028302,-1.732766875134357
